PLAYERS STILL ON AN AUTO-ASSIGNED ROLE (192 total)
Format: Name [current role]  matches / runs / wickets  (decades)
A guess is likely WRONG if a bowler (high wkts) shows [MD], or a spinner shows [PC].

KLT Arthurton [MD]  28m / 1277r / 1w  (1990s)
JKC Holt [MD]  17m / 1066r / 1w  (1950s)
CA Davis [MD]  11m / 1065r / 0w  (1970s)
WW Davis [PC]  15m / 202r / 45w  (1980s)
SO Hetmyer [MD]  16m / 838r / 0w  (2010s)
A Athanaze [MD]  17m / 781r / 1w  (2020s)
AF Rae [MD]  10m / 642r / 0w  (1950s)
EA Martindale [PC]  10m / 58r / 37w  (1930s)
HC Griffith [PC]  10m / 83r / 33w  (1930s)
FM King [PC]  14m / 116r / 29w  (1950s)
WKM Benjamin [PC]  8m / 124r / 26w  (1980s)
BH Pairaudeau [MD]  13m / 454r / 0w  (1950s)
FR Martin [MD]  6m / 311r / 8w  (1930s)
RJ Christiani [MD]  13m / 427r / 0w  (1950s)
GC Grant [MD]  12m / 413r / 0w  (1930s)
SFAF Bacchus [MD]  11m / 268r / 0w  (1980s)

=== PAKISTAN (14) ===
Mohammad Amir [PC]  29m / 598r / 101w  (2010s)
Saud Shakeel [MD]  23m / 1802r / 0w  (2020s)
Mohammad Sami [PC]  33m / 458r / 81w  (2000s)
Wahab Riaz [PC]  27m / 306r / 83w  (2010s)
Qasim Umar [MD]  26m / 1502r / 0w  (1980s)
Sikander Bakht [PC]  26m / 146r / 67w  (1970s,1980s)
Azeem Hafeez [PC]  18m / 134r / 63w  (1980s)
Asif Mujtaba [MD]  22m / 889r / 4w  (1990s)
Aaqib Javed [PC]  21m / 101r / 54w  (1990s)
Tahir Naqqash [MD]  15m / 300r / 34w  (1980s)
Alimuddin [MD]  19m / 708r / 1w  (1950s)
W Mathias [MD]  12m / 501r / 0w  (1950s)
Rizwan-uz-Zaman [MD]  11m / 345r / 4w  (1980s)
Haroon Rasheed [MD]  9m / 364r / 0w  (1980s)

=== SOUTH AFRICA (20) ===
WJ Cronje [MD]  64m / 3689r / 37w  (1990s)
AG Prince [MD]  50m / 3137r / 1w  (2000s)
A Nel [PC]  36m / 337r / 123w  (2000s)
RA McLean [MD]  40m / 2120r / 0w  (1950s,1960s)
KC Bland [MD]  21m / 1669r / 2w  (1960s)
HH Dippenaar [MD]  36m / 1665r / 0w  (2000s)
WR Endean [MD]  28m / 1630r / 0w  (1950s)
CR Matthews [PC]  18m / 348r / 52w  (1990s)
KG Viljoen [MD]  20m / 1030r / 0w  (1930s)
PS Heine [PC]  13m / 178r / 56w  (1950s)
CL Vincent [PC]  16m / 284r / 48w  (1930s)
IJ Siedle [MD]  14m / 921r / 1w  (1930s)
EL Dalton [MD]  14m / 691r / 12w  (1930s)
AM Bacher [MD]  19m / 833r / 0w  (1990s)
KJ Funston [MD]  18m / 824r / 0w  (1950s)
JE Cheetham [MD]  21m / 788r / 0w  (1950s)
HR Lance [MD]  10m / 452r / 11w  (1960s)
RJ Crisp [PC]  9m / 123r / 20w  (1930s)
NA Quinn [PC]  8m / 44r / 22w  (1930s)
HF Wade [MD]  10m / 327r / 0w  (1930s)

=== SRI LANKA (10) ===
GP Wickramasinghe [PC]  36m / 528r / 75w  (1990s)
UC Hathurusingha [MD]  26m / 1274r / 17w  (1990s)
CRD Fernando [PC]  33m / 198r / 88w  (2000s)
RL Dias [MD]  20m / 1285r / 0w  (1980s)
RP Arnold [MD]  32m / 1186r / 5w  (2000s)
ALF de Mel [PC]  17m / 326r / 59w  (1980s)
RS Madugalle [MD]  21m / 1029r / 0w  (1980s)
RJ Ratnayake [PC]  15m / 277r / 49w  (1980s)
CBRLS Kumara [PC]  19m / 49r / 60w  (2010s)
ERNS Fernando [MD]  5m / 112r / 0w  (1980s)

=== NEW ZEALAND (24) ===
CS Martin [PC]  53m / 83r / 176w  (2000s)
MG Burgess [MD]  47m / 2562r / 6w  (1960s,1970s)
KR Rutherford [MD]  56m / 2465r / 1w  (1980s,1990s)
RO Collinge [PC]  35m / 533r / 116w  (1960s,1970s)
RC Motz [PC]  32m / 612r / 100w  (1960s)
SB Doull [PC]  30m / 501r / 97w  (1990s)
SB Styris [MD]  29m / 1586r / 20w  (2000s)
R Ravindra [MD]  22m / 1655r / 11w  (2020s)
JM Parker [MD]  36m / 1498r / 1w  (1970s,1980s)
DR Tuffey [PC]  24m / 349r / 74w  (2000s)
MS Sinclair [MD]  31m / 1381r / 0w  (2000s)
FJ Cameron [PC]  19m / 116r / 62w  (1960s)
SL Boock [PC]  21m / 178r / 57w  (1980s)
MC Snedden [PC]  18m / 242r / 44w  (1980s)
BF Hastings [MD]  20m / 890r / 0w  (1970s)
RG Twose [MD]  16m / 628r / 3w  (1990s)
HB Cave [PC]  15m / 185r / 30w  (1950s)
GA Bartlett [MD]  10m / 263r / 24w  (1960s)
GB Troup [PC]  12m / 45r / 35w  (1980s)
JA Hayes [PC]  15m / 73r / 30w  (1950s)
MB Poore [MD]  14m / 355r / 9w  (1950s)
RW Blair [PC]  14m / 89r / 26w  (1950s)
SN McGregor [MD]  15m / 433r / 0w  (1950s)
JW Guy [MD]  10m / 422r / 0w  (1950s)

=== ZIMBABWE (3) ===
PA Strang [MD]  20m / 747r / 57w  (1990s)
SV Carlisle [MD]  31m / 1440r / 0w  (2000s)
BC Strang [PC]  26m / 465r / 56w  (1990s,2000s)

=== BANGLADESH (1) ===
Rubel Hossain [PC]  24m / 254r / 30w  (2010s)
